,obj gurobi,status ,solve time,obj CCopt,status,solve time,obj Ipopt,,
quad_b0.02_S10.dat,145.22891751896992,4,0.20799994468688965,145.2289175175073,4,3.36299991607666,145.22891751896992,4,0.2199997901916504
quad_b0.02_S15.dat,145.37048953586066,4,0.40000009536743164,145.37048943163055,4,0.015999794006347656,145.37048953586066,4,0.4010000228881836
quad_b0.02_S20.dat,144.21076926237737,4,0.6380000114440918,144.2107691418799,4,0.016000032424926758,144.21076926237737,4,0.6349999904632568
quad_b0.02_S25.dat,145.56564100341305,4,0.7680001258850098,145.56564085418327,4,0.03399991989135742,145.56564100341305,4,0.7829999923706055
quad_b0.02_S30.dat,144.6665818712576,4,1.0980000495910645,144.6665818667345,4,0.03299999237060547,144.6665818712576,4,1.059999942779541
quad_b0.02_S35.dat,145.28885420316098,4,1.3589999675750732,145.28885437867766,4,0.037999868392944336,145.28885420316098,4,1.3440001010894775
quad_b0.02_S40.dat,141.94515188476953,4,1.5909998416900635,141.94515190088802,4,0.03099989891052246,141.94515188476953,4,1.564000129699707
quad_b0.02_S45.dat,144.02339894351377,4,2.062000036239624,144.02339874425397,4,0.04699993133544922,144.02339894351377,4,2.000999927520752
quad_b0.02_S5.dat,146.97080006302912,4,0.06599998474121094,146.9708002418309,10,0.014000177383422852,146.97080006302912,4,0.06299996376037598
quad_b0.02_S50.dat,145.54888189504572,4,2.328999996,145.54888165173577,4,0.04699993133544922,145.54888189504572,4,2.2829999923706055
quad_b0.03_S10.dat,98.10117494243184,4,0.315000057220459,98.10117500609759,10,0.07899999618530273,98.10117494243184,4,0.30500006675720215
quad_b0.03_S15.dat,98.10119460639807,4,0.43600010871887207,98.10119463466994,10,0.0559999942779541,98.10119460639807,4,0.442000150680542
quad_b0.03_S20.dat,98.10117452962889,4,0.5369999408721924,98.1011745122925,10,0.03299999237060547,98.10117452962889,4,0.5509998798370361
quad_b0.03_S25.dat,98.10117516903686,4,0.8040001392364502,98.10117527786352,10,0.03299999237060547,98.10117516903686,4,0.8680000305175781
quad_b0.03_S30.dat,98.10118480995887,4,1.2220001220703125,98.10118494039709,10,0.04999995231628418,98.10118480995887,4,1.2300000190734863
quad_b0.03_S35.dat,98.10120470225013,4,1.4680001735687256,98.10120483271177,10,0.07899999618530273,98.10120470225013,4,1.4240000247955322
quad_b0.03_S40.dat,98.10120318594008,4,1.5169999599456787,98.10120407815498,10,0.11500000953674316,98.10120318594008,4,1.440000057220459
quad_b0.03_S45.dat,98.1012132141921,4,1.6800000667572021,98.10121330278459,10,0.12800002098083496,98.1012132141921,4,1.6430001258850098
quad_b0.03_S5.dat,98.1011643948287,4,0.0989999771118164,98.10116470524287,10,0.04699993133544922,98.1011643948287,4,0.10199999809265137
quad_b0.03_S50.dat,98.10125345234306,4,2.065000057220459,98.10125361806851,10,0.09399986267089844,98.10125345234306,4,2.009999990463257
quad_b0.04_S10.dat,73.57588125657043,4,0.15399980545043945,73.57588178984581,10,0.016000032424926758,73.57588125657043,4,0.17300009727478027
quad_b0.04_S15.dat,73.57589638580666,4,0.35199999809265137,73.57589637232876,10,0.031999826431274414,73.57589638580666,4,0.3690001964569092
quad_b0.04_S20.dat,73.57588113010229,4,0.6380000114440918,73.5758812345639,10,0.03400015830993652,73.57588113010229,4,0.6739997863769531
quad_b0.04_S25.dat,73.5758816239508,4,0.7699999809265137,73.57588173027604,10,0.029000043869018555,73.5758816239508,4,0.7549998760223389
quad_b0.04_S30.dat,73.575888909321,4,0.9679999351501465,73.57588894519954,10,0.08800005912780762,73.575888909321,4,0.9809999465942383
quad_b0.04_S35.dat,73.5759039631873,4,1.2239999771118164,73.57590405493032,10,0.10100007057189941,73.5759039631873,4,1.2179999351501465
quad_b0.04_S40.dat,73.57590324595091,4,1.3489999771118164,73.5759035151504,10,0.1119999885559082,73.57590324595091,4,1.2980000972747803
quad_b0.04_S45.dat,73.5759099835361,4,1.6109998226165771,73.5759101094485,10,0.0970001220703125,73.5759099835361,4,1.5839998722076416
quad_b0.04_S5.dat,73.57587298849329,4,0.08300018310546875,73.57587366789748,10,0.031999826431274414,73.57587298849329,4,0.07800006866455078
